Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",pisa_math,pisa_reading,pisa_science,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)"
2006_Bulgaria,105.51318,103.34119,77.81718000000002,93.32862,90.81201,88.4515,47.15608,95.11614,85.11176999999998,,98.9434,88.82549,96.69628,96.93964,93.15966,,,94.46107,83.27091,38.41971,,,2.31537,6.8403399999999985,2.66026,3.30372,4.10271,7.18531,11.28802,61.58029000000001,97.72001,10.36381,2.10625,2.67695,16.72909,,9.89864,12.25905,,,413.0,402.0,,3.93201994895935,12.010479927063,17.2885608673096,21.2066497802734,44.689151763915994,20.1410503387451,19.7152690887451,21.5606307983398,91.4995269775391,87.1211395263672,92.1542282104492,92.64254760742192,,
2006_Canada,96.81534,98.55752,,100.02696,103.15891,97.71289,,,,,,,,,,,,,,,,,,,,,5.91345,6.08101,11.99446,,,13.3442,,,,,,,,,527.0,527.0,534.0,,,,,,,,,93.7789688110352,92.4685287475586,,,,
2006_Chile,97.75239,106.38612,85.19264,101.09885,91.20821,106.26727,47.53733,,,,,,,,,,,,,,,,,,,,6.3608,5.74734,12.10814,,,,,,,,,,26.5194,73.4806,411.0,442.0,438.0,3.0215299129486097,16.2312793731689,14.811579704284696,11.047080039978,38.6039886474609,11.6508102416992,35.891750335693395,10.4430198669434,95.04004669189449,92.08556365966801,96.0655899047852,96.62890625,,
2006_China,107.16658,105.47417,64.14421,84.79595,49.01664,95.70639,20.0445,,,,,,,,,,,,,,,,0.26887,,,,6.26445,4.24783,10.51228,,,,0.24324,,,,,,,,,,,,,,,,,,,,,,,,
2006_Colombia,138.87176000000002,128.71778999999998,82.68843000000003,105.98512,70.07462,96.61949,31.332,92.75489,68.90559,67.39005999999999,86.47549000000002,70.23154,96.38914,99.93822,93.30535,,,99.03878,70.21166,20.64813,,,3.8405,6.69465,2.94679,3.61086,6.41739,5.30457,11.72195,79.35186999999998,99.79537,,3.70895,2.9371,29.78834,,9.59433,14.38664,,,370.0,385.0,,3.89332008361816,13.7688302993774,,,,,,,,,,,92.2996826171875,97.88317108154301
2006_Costa Rica,112.26448,114.78454,,103.76332,64.93385,108.54742,,,,,,,,,,,,,,38.16482,83.14838,47.09156,7.29935,,11.86414,,6.8414199999999985,4.55109,11.39251,61.83518,96.71145,,7.481219999999999,11.15499,,,,,,,,,,4.63918018341064,,20.9271297454834,,30.0879096984863,16.062780380249,39.42055130004879,14.4176998138428,,,98.65463256835942,98.0809173583984,,
2006_Croatia,95.37218,100.70325,79.90608,96.76201,84.57381,106.99051,45.58529,90.01541,,,94.31732,98.44913,98.85893,99.05707,99.45886,,,99.25761,,0.5534,,,0.30244,0.54114,0.42442,1.14107,4.02586,7.940360000000001,11.96621,99.4466,99.58112,,0.2819,0.4472,,,,,18.04998,81.95002,467.0,477.0,,,,,,,,,,,,,,,
2006_Cyprus,106.15241,102.38691,77.5825,99.29216,96.71157,96.48484,33.419909999999994,99.21867,94.05908,,96.82678,97.06344,99.52019,99.93691,99.66152,,,99.96356,91.04268,2.14523,,,0.22442,0.33848,1.26761,0.47981,6.13481,5.80037,11.93518,97.85477,99.14882,10.9152,0.20767,1.28915,8.95732,,2.70706,4.64591,13.91913,86.08086999999998,,,,6.22760009765625,16.179620742797898,23.5266304016113,53.445011138915994,43.840171813964794,31.6821308135986,27.7900199890137,21.766180038452106,87.9681015014648,79.57293701171879,90.4866409301758,86.05596923828129,,
2006_Czechia,108.66592,99.99366,83.53369,97.30154,92.21135,100.10442,50.13498,,,,,,,,,,,,,3.30694,,,0.69157,,0.85534,,4.83223,7.682810000000001,12.51504,96.69306,99.27405,12.14039,0.60177,0.91911,,,,,,,510.0,483.0,513.0,4.21710014343262,10.1969404220581,26.6974201202393,34.104259490966804,47.208988189697294,21.09547996521,13.564689636230499,12.3756904602051,89.5749969482422,88.00811767578129,91.1901626586914,88.1030426025391,,
2006_Denmark,97.87598,99.30144,101.34161,109.23452,123.54597,116.74968,79.01963,95.9751,89.38548,,78.08985,93.08037,96.50242,98.89687,99.00092,,,98.93069,85.47266,,,,,0.99908,,3.49758,5.95621,7.29352,13.24974,,96.75822,,,,14.52734,,5.4032800000000005,7.468660000000002,18.16614,81.83386,513.0,494.0,496.0,7.729909896850589,15.5126399993896,28.3820991516113,52.1155891418457,36.9859199523926,33.5299301147461,23.6902904510498,23.946870803832997,94.6005020141602,96.5263137817383,93.5928573608398,92.9741973876953,,
2006_Dominican Republic,108.99845,103.63236,,,,,,81.78003000000002,,,70.78048000000003,,84.15028000000002,85.67213000000002,,,,,,,,,7.83231,,,15.84972,6.23954,,,,98.82658,,,,,,,,,,,,,,,,,,,,,,,,,,
